repository,pr_number,pr_title,pr_url,author,author_avatar,state,is_merged,is_rejected,is_open,created_at,merged_at,closed_at,time_to_merge_hours,hours_open,is_beyond_threshold,threshold_hours,labels,reviewers_requested,base_branch,head_branch,additions,deletions,changed_files,extraction_date
cc-order-creation,101,Add order validation logic,https://github.com/ikea/cc-order-creation/pull/101,developer1,https://avatars.githubusercontent.com/u/1,closed,True,False,False,2026-02-01 10:00:00,2026-02-01 18:00:00,2026-02-01 18:00:00,8.0,8.0,False,48,feature,developer2,main,feature/order-validation,150,20,5,2026-02-18 12:00:00
cc-order-creation,102,Fix payment processing bug,https://github.com/ikea/cc-order-creation/pull/102,developer2,https://avatars.githubusercontent.com/u/2,closed,True,False,False,2026-02-02 09:00:00,2026-02-03 14:00:00,2026-02-03 14:00:00,29.0,29.0,False,48,bugfix,developer1,main,fix/payment-bug,45,10,3,2026-02-18 12:00:00
cc-order-creation,103,Update documentation,https://github.com/ikea/cc-order-creation/pull/103,developer3,https://avatars.githubusercontent.com/u/3,closed,False,True,False,2026-02-05 11:00:00,,2026-02-06 09:00:00,,22.0,False,48,docs,,main,docs/update-readme,20,5,1,2026-02-18 12:00:00
cc-order-creation,104,Refactor service layer,https://github.com/ikea/cc-order-creation/pull/104,developer1,https://avatars.githubusercontent.com/u/1,open,False,False,True,2026-02-10 08:00:00,,,200.0,200.0,True,48,refactor,developer2,main,refactor/services,300,100,15,2026-02-18 12:00:00
cc-order-creation,105,Add unit tests,https://github.com/ikea/cc-order-creation/pull/105,developer4,https://avatars.githubusercontent.com/u/4,closed,True,False,False,2026-02-12 14:00:00,2026-02-13 10:00:00,2026-02-13 10:00:00,20.0,20.0,False,48,tests,developer1,main,tests/add-unit-tests,200,0,8,2026-02-18 12:00:00
order-modification-persist,201,Implement ISOM payment fix,https://github.com/ikea/order-modification-persist/pull/201,developer1,https://avatars.githubusercontent.com/u/1,closed,True,False,False,2026-02-03 09:00:00,2026-02-04 11:00:00,2026-02-04 11:00:00,26.0,26.0,False,48,feature,developer5,main,feature/isom-payment,85,15,4,2026-02-18 12:00:00
order-modification-persist,202,Fix delivery fee deletion issue,https://github.com/ikea/order-modification-persist/pull/202,developer5,https://avatars.githubusercontent.com/u/5,closed,True,False,False,2026-02-07 10:00:00,2026-02-08 16:00:00,2026-02-08 16:00:00,30.0,30.0,False,48,bugfix,developer1,main,fix/delivery-fee,120,30,6,2026-02-18 12:00:00
order-modification-persist,203,Add payment plan part mapper tests,https://github.com/ikea/order-modification-persist/pull/203,developer2,https://avatars.githubusercontent.com/u/2,open,False,False,True,2026-02-15 08:00:00,,,76.0,76.0,True,48,tests,developer5,main,tests/mapper-tests,150,0,5,2026-02-18 12:00:00
order-modification-persist,204,Update SoPaymentPlanPartMapper,https://github.com/ikea/order-modification-persist/pull/204,developer1,https://avatars.githubusercontent.com/u/1,closed,True,False,False,2026-02-10 12:00:00,2026-02-11 09:00:00,2026-02-11 09:00:00,21.0,21.0,False,48,enhancement,developer2,main,fix/status-update,50,10,2,2026-02-18 12:00:00
order-modification-persist,205,Legacy payment processor refactor,https://github.com/ikea/order-modification-persist/pull/205,developer3,https://avatars.githubusercontent.com/u/3,closed,False,True,False,2026-02-08 15:00:00,,2026-02-10 10:00:00,,43.0,False,48,refactor,,main,refactor/legacy-processor,250,80,10,2026-02-18 12:00:00
shopping-list-creation,301,Initial project setup,https://github.com/ikea/shopping-list-creation/pull/301,developer4,https://avatars.githubusercontent.com/u/4,closed,True,False,False,2026-01-15 09:00:00,2026-01-15 14:00:00,2026-01-15 14:00:00,5.0,5.0,False,48,setup,developer1,main,setup/initial,500,0,25,2026-02-18 12:00:00
shopping-list-creation,302,Add shopping list service,https://github.com/ikea/shopping-list-creation/pull/302,developer1,https://avatars.githubusercontent.com/u/1,closed,True,False,False,2026-01-20 11:00:00,2026-01-22 10:00:00,2026-01-22 10:00:00,47.0,47.0,False,48,feature,developer4,main,feature/shopping-service,350,20,12,2026-02-18 12:00:00
shopping-list-creation,303,Fix list item duplication,https://github.com/ikea/shopping-list-creation/pull/303,developer2,https://avatars.githubusercontent.com/u/2,closed,True,False,False,2026-02-01 08:00:00,2026-02-01 15:00:00,2026-02-01 15:00:00,7.0,7.0,False,48,bugfix,developer1,main,fix/item-duplication,30,5,2,2026-02-18 12:00:00
shopping-list-creation,304,Add integration tests,https://github.com/ikea/shopping-list-creation/pull/304,developer5,https://avatars.githubusercontent.com/u/5,open,False,False,True,2026-02-16 14:00:00,,,46.0,46.0,False,48,tests,developer2,main,tests/integration,180,0,7,2026-02-18 12:00:00
shopping-list-creation,305,Performance optimization,https://github.com/ikea/shopping-list-creation/pull/305,developer3,https://avatars.githubusercontent.com/u/3,open,False,False,True,2026-02-14 09:00:00,,,99.0,99.0,True,48,performance,,main,perf/optimization,75,40,5,2026-02-18 12:00:00

